album,file,key,chord,deg,color,p1,p1c,p2,p2c,prev3,prev3_color
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,,,,,,
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,,,,
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,i,maj,,
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E:7/3,i,7,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,7,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A:min/b3,iv,min,iv,maj,i,7,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,min,iv,maj,i,7
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,min,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,min
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E:7/3,i,7,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,7,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A:min/b3,iv,min,iv,maj,i,7,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,min,iv,maj,i,7
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,min,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,min
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,v,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A:min/b3,iv,min,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,min,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,min,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,min
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,v,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,iv,maj,i,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,v,maj,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,v,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,A,iv,maj,i,maj,iv,maj,v,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,iv,maj,i,maj,iv,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,B,v,maj,i,maj,iv,maj,i,maj
01_-_Please_Please_Me,01_-_I_Saw_Her_Standing_There.lab,E,E,i,maj,v,maj,i,maj,iv,maj
